"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        ESCENARIO: Activación Huawei FTTH con VoIP.

        El gemport para VoIP en Huawei es siempre 6.

        Resultado esperado: los comandos contienen 'gemport 6'.
        ","1","test_huawei_ftth_activation_voip_usa_gemport_6","tests.unit","2026-07-20","passed","2026-07-20","TestHuaweiFTTH","test_command_builder","",""
"
        ESCENARIO: Swap Huawei — el nuevo serial debe aparecer en 'sn-auth'.

        'sn-auth 485754C99999' registra el nuevo equipo físico en la OLT.

        Resultado esperado: los comandos contienen 'sn-auth 485754C99999'.
        ","1","test_huawei_swap_contiene_serial_nuevo","tests.unit","2026-07-20","passed","2026-07-20","TestDeviceModification","test_command_builder","",""
"
        ESCENARIO: Baja Huawei FTTH — cliente con 3 service-ports, solo 2 tienen INDEX.

        Komands resuelve el INDEX de 2 service-ports y los elimina de la OLT.
        El 3ro no tiene INDEX y no se puede eliminar. Para no dejar al cliente
        con servicio parcial, Komands hace rollback de los 2 que ya borró.

        Resultado esperado: HTTP 202 con estado ROLLED_BACK.
        ","4","test_baj17_huawei_index_parcial_retorna_rolled_back","tests.api","2026-07-20","passed","2026-07-20","TestBajaErroresNegocioHuawei","test_deactivation","",""
"
        ESCENARIO: Al detectar IN_PROGRESS, el sistema retorna los txn_id activos.

        Resultado esperado: Lista de {txn_id, vno_code, operation, started_at} para
        que el operador pueda esperar su finalización o escalarlos.
        ","0","test_regff02b_listado_txn_in_progress_para_diagnóstico","tests.feature_flags","2026-07-20","skipped","2026-07-20","TestPreCondicionConmutacion","test_feature_flags","",""
"
        ESCENARIO: ServiceNow envía la misma baja dos veces con el mismo txn_id.

        El primer POST registra la transacción y retorna 202.
        El segundo POST detecta el txn_id duplicado y retorna 200 con el
        mismo txn_id — sin volver a contactar la OLT (0 re-ejecuciones).

        Resultado esperado: primer POST → 202, segundo POST → 200, mismo txn_id.
        ","7","test_idp01_txn_id_duplicado_retorna_200_con_txn_original[DTV[05]]","tests.api","2026-07-20","passed","2026-07-20","TestIdempotenciaBaja","test_feature_flags_postventa","",""
"
        ESCENARIO: Consulta de estado con UUID real (el que devolvió el POST).

        ServiceNow consulta el estado de una operación asíncrona usando el
        txn_id que recibió en la respuesta 202 del POST correspondiente.

        Resultado esperado: HTTP 200 con txn_id, status y result.
        ","4","test_ops01_estado_uuid_valido_devuelve_200[fiber-change-fiber-change]","tests.api","2026-07-20","passed","2026-07-20","TestEstadoOperacionOK","test_operation_status","",""
"PASO 2 — Consultar estado Alta.","4","test_e2e_02_estado_alta[Huawei-WOM]","tests.e2e","2026-07-20","passed","2026-07-20","TestLifecycleFTTHAllVNOs","test_lifecycle_ftth_all_vnos","",""
"
        ESCENARIO: DTV migra FTTH primero, pero SSAA todavía va a BluePlanet.
                   Flags: DTV FTTH=enabled, DTV SSAA=disabled.

        Resultado esperado:
            - Activación FTTH de DTV → 202 (Komands procesa)
            - Activación SSAA de DTV → KMD-4001 (BluePlanet procesa)

        Por qué es importante:
            Permite migrar producto por producto sin afectar los otros.
            Si SSAA falla en Komands, solo se apaga ese flag — FTTH sigue.
        ","14","test_ff03_ftth_activado_ssaa_desactivado","tests.security","2026-07-20","passed","2026-07-20","TestFeatureFlags","test_feature_flags","",""
"PASO 5 — Swap ONT: serial original -> serial nuevo (device-modification).","4","test_e2e_05_cambio_dispositivo[Huawei-VTR]","tests.e2e","2026-07-20","passed","2026-07-20","TestLifecycleFTTHAllVNOs","test_lifecycle_ftth_all_vnos","",""
"
        ESCENARIO: Intentar modificar o borrar el registro de audit_log del flag change.

        Resultado esperado: asyncpg.InsufficientPrivilegeError (trigger PG inmutabilidad).
        Este test reutiliza la misma lógica de PV-DB-004 pero enfocado en el
        cambio de Feature Flag.
        ","0","test_regff04b_audit_log_inmutable_update_denegado","tests.feature_flags","2026-07-20","skipped","2026-07-20","TestAuditLogFeatureFlag","test_feature_flags","",""
"
        ESCENARIO: Flag global KOMANDS_ROUTING = TRUE (todos los VNOs).

        Precondición: feature_flag WHERE flag_key='KOMANDS_ROUTING' AND vno_code IS NULL
                      retorna enabled=TRUE.
        Acción: POST /api/Komands/v1/activation con VNO-03 ENTEL.
        Resultado esperado:
          - Komands procesa el request (HTTP 202 + txn_id UUID).
          - BluePlanet NO recibe el request.
          - audit_log registra routing_decision='KOMANDS'.
        ","0","test_flg01_flag_global_on_rutea_a_komands","tests.feature_flags","2026-07-20","skipped","2026-07-20","TestFlagOn","test_feature_flags","",""
"PV-BAJ: ONT no encontrado (KMD-2002) — combinaciones VNO × OLT faltantes.","4","test_baj_matriz_ont_not_found[PV-BAJ-207-ENTEL-OLT-SCL-011-True]","tests.api","2026-07-20","passed","2026-07-20","","test_deactivation","",""
"PV-RST: ONT no encontrado (KMD-2002) — combinaciones VNO × OLT faltantes.","4","test_rst_matriz_ont_not_found[PV-RST-275-DTV-OLT-SAN-003-True]","tests.api","2026-07-20","passed","2026-07-20","","test_reset_ont","",""
"
        ESCENARIO: Rollback Komands→BP — flag FTTH desactivado para la VNO seleccionada.

        Cuando el Feature Flag está desactivado, Komands rechaza la operación
        con KMD-4001 y dice a ServiceNow que use BluePlanet.
        Este mecanismo permite un rollback sin deploys.

        Resultado esperado: respuesta con error KMD-4001.
        ","7","test_flg02_flag_desactivado_baja_retorna_kmd4001[DTV[05]]","tests.api","2026-07-20","passed","2026-07-20","TestFeatureFlagsBaja","test_feature_flags_postventa","",""
"
        ESCENARIO: Activación Nokia SSAA grupo C — L2 punto a punto GPON.

        El grupo C es para servicios de transporte L2 entre sedes empresariales.
        Usa una CVLAN diferente y sin QoS de consumidor final.

        Resultado esperado: HTTP 202.
        ","4","test_act19_nokia_ssaa_grupo_c_devuelve_202","tests.api","2026-07-20","passed","2026-07-20","TestActivacionSSAAGruposExtendidos","test_activation","",""
"
        ESCENARIO: Token con solo komands:read.

        Resultado esperado: HTTP 403.
        ","3","test_ont09_scope_insuficiente_devuelve_403","tests.api","2026-07-20","passed","2026-07-20","TestSwapSinAutorizacion","test_device_modification","",""
"
        ESCENARIO: ServiceNow envía una activación, pero NO recibe respuesta
                   (timeout de red antes de que llegue el HTTP 202).
                   ServiceNow no sabe qué txn_id asignó Komands.
                   Al reintentar, envía el mismo external_order_id pero SIN txn_id.

        Diferencia con IDEM-01: allá SN sí recibió el txn_id y lo reenvía.
        Acá SN no lo tiene (timeout) y envía un payload ""fresco"" sin txn_id.

        Resultado esperado:
            - Primera vez → HTTP 202, Komands asigna un txn_id nuevo.
            - Segunda vez (mismo external_order_id, sin txn_id) → HTTP 200,
              Komands devuelve el txn_id de la primera ejecución.
              La OLT NO recibe comandos por segunda vez.

        Por qué importa: sin este comportamiento, el cliente podría quedar
        con dos activaciones activas en la OLT (dos service-ports).
        ","11","test_idem03_external_order_id_reintento_devuelve_txn_id_original","tests.security","2026-07-20","passed","2026-07-20","TestIdempotencia","test_feature_flags","",""
"PV-CAN: Transacción en progreso → 409 KMD-3003 — combinaciones VNO × OLT faltantes.","4","test_can_matriz_txn_en_progreso_409[ids6-ENTEL-OLT-SCL-010-False-ENTEL/Nokia-SSAA]","tests.api","2026-07-20","passed","2026-07-20","","test_cancel_order","",""
"PV-ONT: Swap exitoso — combinaciones VNO × OLT faltantes en la matriz.","4","test_ont_matriz_success[PV-ONT-268-TCH-OLT-SCL-010-False]","tests.api","2026-07-20","passed","2026-07-20","","test_device_modification","",""
"
        ESCENARIO: Consulta de acceso con access_id válido (source=cache).

        El dato se entrega desde cache Redis. Es la respuesta normal
        cuando la OLT fue consultada recientemente (< 5 min).

        Resultado esperado: HTTP 200 con datos del ONT.
        ","3","test_qry01_acceso_existente_devuelve_200[ENTEL[03]]","tests.api","2026-07-20","passed","2026-07-20","TestConsultaAcceso","test_queries","",""
"
        ESCENARIO: Baja Huawei FTTH — timeout de conexión SSH a la OLT.

        Mismo escenario que BAJ-20 pero para equipos Huawei MA5800.
        El código de error es el mismo: el problema es la red, no el vendor.

        Resultado esperado: HTTP 202 con estado FAILED y error_code KMD-5020.
        ","4","test_baj21_huawei_ssh_timeout_retorna_failed","tests.api","2026-07-20","passed","2026-07-20","TestBajaSSHTimeout","test_deactivation","",""
"PV-MOD: Modificación — combinaciones VNO × OLT × operación faltantes en la matriz.","3","test_mod_matriz[PV-MOD-227-CVTR-OLT-VAL-002-True-SPEED_CHANGE]","tests.api","2026-07-20","passed","2026-07-20","","test_modification","",""
"
        ESCENARIO: Rol VIEWER intenta resetear.

        VIEWER solo puede leer — no puede modificar la red.

        Resultado esperado: HTTP 403.
        ","3","test_rst12_viewer_no_puede_resetear","tests.api","2026-07-20","passed","2026-07-20","TestResetRBACPortal","test_reset_ont","",""
"PASO 3 — Cambio Plan Comercial 100M/20M -> 200M/50M (service-modification).","4","test_e2e_03_modificacion[Huawei-CVTR]","tests.e2e","2026-07-20","passed","2026-07-20","TestLifecycleFTTHAllVNOs","test_lifecycle_ftth_all_vnos","",""
"
        ESCENARIO: Paso crítico falla Y el rollback de ese paso también falla.

        La OLT queda en estado inconsistente. Komands no puede recuperarla
        automáticamente y escala a Ingeniería de Redes.

        Resultado esperado: HTTP 202 con status=ROLLBACK_FAILED y error_code=KMD-5030.
        ","3","test_rbk03_rollback_tambien_falla_retorna_rollback_failed","tests.api","2026-07-20","passed","2026-07-20","TestRollbackAutomatico","test_rollback","",""
"
        ESCENARIO: Cambio de fibra Nokia — el ONT ID en el puerto de destino ya está en uso.

        El técnico planificó mover el cliente al puerto 5 ONT ID 9000,
        pero ese ONT ID ya tiene otro cliente activo.
        Komands detecta la colisión en el paso 2 (alta en destino) y hace
        rollback del paso 1 (re-activa en el origen).

        Resultado esperado: HTTP 202 con estado ROLLED_BACK y error_code KMD-3003.
        ","4","test_fib07_destino_ont_id_ocupado_retorna_rolled_back","tests.api","2026-07-20","passed","2026-07-20","TestFiberChangeErrores","test_fiber_change","",""
"PASO 7 — Baja de acceso con serial post-swap (unsubscription).","3","test_e2e_07_baja[Huawei-Generico]","tests.e2e","2026-07-20","passed","2026-07-20","TestLifecycleFTTHAllVNOs","test_lifecycle_ftth_all_vnos","",""
"PV-ONT: Alta falla → ROLLED_BACK — combinaciones VNO × OLT faltantes.

    El centinela new_serial_ont=""FAIL00000000"" hace que el mock devuelva ROLLED_BACK
    (simula que la baja del ONT viejo fue exitosa pero el alta del nuevo falló).
    ","4","test_ont_matriz_fallo_alta_rolled_back[PV-ONT-259-CVTR-OLT-VAL-003-True]","tests.api","2026-07-20","passed","2026-07-20","","test_device_modification","",""
"
        ESCENARIO: Conmutación de Komands → BluePlanet (rollback) en < 5 minutos.

        Precondición:
          - feature_flag enabled=TRUE (Komands activo).
          - 0 transacciones IN_PROGRESS en tabla transaction.
        Acción:
          1. Verificar cero IN_PROGRESS.
          2. UPDATE feature_flag SET enabled=FALSE WHERE flag_key='KOMANDS_ROUTING'.
          3. Enviar request de prueba → verificar que va a BluePlanet.
          4. Medir tiempo total de la operación.
        Resultado esperado:
          - Tiempo total < 300 segundos (5 minutos) — SLA LLD v2.2.
          - Primera request post-conmutación ruteada a BluePlanet.
          - audit_log registra el cambio con timestamp.
        ","0","test_flg03_conmutacion_on_a_off_en_menos_5_minutos","tests.feature_flags","2026-07-20","skipped","2026-07-20","TestConmutacion","test_feature_flags","",""
"PASO 6 — Consultar estado Cambio Dispositivo.","3","test_e2e_06_estado_cambio_dispositivo[Huawei-VTR]","tests.e2e","2026-07-20","passed","2026-07-20","TestLifecycleFTTHAllVNOs","test_lifecycle_ftth_all_vnos","",""
"
        ESCENARIO: Cambio de feature_flag queda registrado en audit_log.

        Acción: UPDATE feature_flag SET enabled=FALSE.
        Resultado esperado:
          - audit_log INSERT con:
              table_name='feature_flag', action='UPDATE',
              old_value='{enabled:true}', new_value='{enabled:false}',
              changed_by=<usuario>, changed_at=<timestamp>.
          - El registro es inmutable (no se puede borrar ni modificar — trigger PG).
        ","0","test_regff04_audit_log_registra_cambio_de_flag","tests.feature_flags","2026-07-20","skipped","2026-07-20","TestAuditLogFeatureFlag","test_feature_flags","",""
"
        ESCENARIO: Activación Nokia SSAA con grupos A y C.

        Cada grupo requiere su propio bridge-port en Nokia.
        Si se genera uno solo, el segundo servicio queda sin configurar.

        Resultado esperado: al menos 2 comandos de bridge-port.
        ","0","test_nokia_ssaa_dos_grupos_genera_dos_bridge_ports","tests.unit","2026-07-20","passed","2026-07-20","TestNokiaSSAA","test_command_builder","",""
"PV-CAN: Sin provisión activa → NO_ACTION — combinaciones VNO × OLT faltantes.","3","test_can_matriz_sin_provision_activa[ids1-DTV-OLT-SAN-003-True-DTV/Huawei-MA5600T]","tests.api","2026-07-20","passed","2026-07-20","","test_cancel_order","",""
"
        ESCENARIO: Activación Nokia FTTH solo INTERNET.

        Internet usa la cola Q0 con prioridad P4 en Nokia.
        Si se asigna una cola incorrecta, el tráfico del cliente
        no tendrá la prioridad correcta en la red.

        Resultado esperado: los comandos contienen Q0 y P4.
        ","0","test_nokia_ftth_activation_internet_qos_q0_p4","tests.unit","2026-07-20","passed","2026-07-20","TestNokiaFTTH","test_command_builder","",""
"
        ESCENARIO: Activación Nokia SSAA grupo D — video/streaming GPON.

        El grupo D configura multicast habilitado con QoS para video corporativo.

        Resultado esperado: HTTP 202.
        ","4","test_act20_nokia_ssaa_grupo_d_devuelve_202","tests.api","2026-07-20","passed","2026-07-20","TestActivacionSSAAGruposExtendidos","test_activation","",""
"
        ESCENARIO: Cada VNO autorizado envía una activación.

        VNOs verificados en portal real (onf-komands.cl:9010) — 2026-06-17:
        DTV, VTR, ENTEL, TCH, Claro, GTD, WOM, Genérico.
        Si alguno falla con 403, ese VNO no está en la lista del mock.

        Resultado esperado: HTTP 202 para cada VNO.
        ","3","test_act17_todos_los_vnos_pueden_activar[GTD]","tests.api","2026-07-20","passed","2026-07-20","TestActivacionMultiVNO","test_activation","",""
"
        ESCENARIO: Activación Nokia SSAA grupo A.

        SSAA usa line-profile para configurar velocidad, a diferencia de
        FTTH que usa QoS por servicio (Q0/P4, Q4/P5, Q5/P6).
        Si se usa el template FTTH, el equipo queda con QoS incorrecto.

        Resultado esperado: los comandos contienen 'line-profile'.
        ","1","test_nokia_ssaa_contiene_line_profile","tests.unit","2026-07-20","passed","2026-07-20","TestNokiaSSAA","test_command_builder","",""
"
        ESCENARIO: Token con formato inválido.

        Resultado esperado: HTTP 401.
        ","3","test_ont07_token_malformado_devuelve_401","tests.api","2026-07-20","passed","2026-07-20","TestSwapSinAutenticacion","test_device_modification","",""
"
        ESCENARIO: Baja Huawei FTTH — OLT no entrega el INDEX del service-port.

        Antes de ejecutar cualquier comando en la OLT, Komands consulta el INDEX
        dinámico del service-port del cliente. Si la OLT no responde o el INDEX
        no existe, Komands aborta la operación con error KMD-2002 sin tocar nada.

        Resultado esperado: HTTP 202 con estado FAILED y error_code KMD-2002.
        ","3","test_baj16_huawei_index_no_resuelto_retorna_kmd2002","tests.api","2026-07-20","passed","2026-07-20","TestBajaErroresNegocioHuawei","test_deactivation","",""
"
        ESCENARIO: GET sin header Authorization.

        Sin token no se puede saber quién hace la consulta.

        Resultado esperado: HTTP 401.
        ","3","test_ops04_sin_token_devuelve_401[service-modification-service-modification]","tests.api","2026-07-20","passed","2026-07-20","TestEstadoOperacionAuth","test_operation_status","",""
"
        ESCENARIO: Consulta de estado con UUID centinela (todos-ceros).

        El UUID 00000000-0000-0000-0000-000000000000 es el centinela estándar
        para ""transacción no encontrada"" en el mock — equivale a un txn_id
        inexistente o ya expirado del historial.

        Resultado esperado: HTTP 404.
        ","3","test_ops03_uuid_no_encontrado_devuelve_404[fiber-change-fiber-change]","tests.api","2026-07-20","passed","2026-07-20","TestEstadoOperacionNotFound","test_operation_status","",""
"PASO 4 — Consultar estado Modificacion.","4","test_e2e_04_estado_modificacion[Huawei-ENTEL]","tests.e2e","2026-07-20","passed","2026-07-20","TestLifecycleFTTHAllVNOs","test_lifecycle_ftth_all_vnos","",""
"
        ESCENARIO: Mismos parámetros, vendors distintos.

        Los comandos Nokia y Huawei no deben tener ningún comando en común
        (salvo quizás comentarios o metadatos, que no aplica aquí).

        Resultado esperado: los conjuntos de comandos son distintos.
        ","0","test_nokia_y_huawei_generan_comandos_distintos","tests.unit","2026-07-20","passed","2026-07-20","TestTemplatesNoIntercambiables","test_command_builder","",""
"
        ESCENARIO: ServiceNow envía la misma operación dos veces con el
                   mismo txn_id (reintento por timeout de red).

        Resultado esperado (Anexo E):
            - Primera vez → HTTP 202 (encolado y procesado)
            - Segunda vez → HTTP 200 con el mismo txn_id (sin re-ejecutar)

        La OLT solo recibe los comandos CLI una vez.
        ","11","test_idem01_txn_id_duplicado_no_reejecutar","tests.security","2026-07-20","passed","2026-07-20","TestIdempotencia","test_feature_flags","",""
"
        ESCENARIO: El flag de DTV está desactivado (como al inicio del proyecto).
                   ServiceNow envía una activación para DTV.

        Resultado esperado:
            Komands responde con KMD-4001 — ServiceNow debe usar BluePlanet.
            ON·NET no nota ningún cambio porque BluePlanet sigue procesando.

        Nota: El flag viene desactivado por defecto (AppState vacío).
        ","8","test_ff01_flag_dtv_desactivado_retorna_kmd4001","tests.security","2026-07-20","passed","2026-07-20","TestFeatureFlags","test_feature_flags","",""
"
        ESCENARIO: Token con solo komands:read — sin permiso de escritura.

        Resultado esperado: HTTP 403.
        ","3","test_baj09_scope_insuficiente_devuelve_403","tests.api","2026-07-20","passed","2026-07-20","TestBajaSinAutorizacion","test_deactivation","",""
"PASO 7 — Baja de acceso con serial post-swap (unsubscription).","3","test_e2e_07_baja[Huawei-ENTEL]","tests.e2e","2026-07-20","passed","2026-07-20","TestLifecycleFTTHAllVNOs","test_lifecycle_ftth_all_vnos","",""
"
        ESCENARIO: Reset Nokia FTTH — el ONT existe en la OLT pero está offline.

        La OLT tiene el ONT registrado (ont_id=6666) pero reporta que no hay
        señal óptica. El reset no puede completarse porque el equipo no puede
        recibir el comando de reinicio.

        Resultado esperado: HTTP 202 con estado FAILED y error_code KMD-2003.
        ","4","test_rst20_nokia_ont_offline_retorna_failed","tests.api","2026-07-20","passed","2026-07-20","TestResetONTOffline","test_reset_ont","",""
"
        ESCENARIO: El campo operation en la respuesta refleja el endpoint llamado.

        Permite que el consumidor verifique que está leyendo el estado
        del tipo de operación correcto y no hay confusión de rutas.

        Resultado esperado: campo operation == nombre del endpoint.
        ","4","test_ops02_estado_devuelve_operacion_correcta[device-modification-device-modification]","tests.api","2026-07-20","passed","2026-07-20","TestEstadoOperacionOK","test_operation_status","",""
"
        ESCENARIO: Usuario con rol ADMIN da de baja desde el portal.

        Resultado esperado: HTTP 202.
        ","4","test_baj10_admin_puede_dar_de_baja","tests.api","2026-07-20","passed","2026-07-20","TestBajaRBACPortal","test_deactivation","",""
"PASO 3 — Cambio Plan Comercial 100M/20M -> 200M/50M (service-modification).","3","test_e2e_03_modificacion[Huawei-Generico]","tests.e2e","2026-07-20","passed","2026-07-20","TestLifecycleFTTHAllVNOs","test_lifecycle_ftth_all_vnos","",""
"PV-MOD: Modificación — combinaciones VNO × OLT × operación faltantes en la matriz.","4","test_mod_matriz[PV-MOD-232-CVTR-OLT-VAL-003-True-UNBLOCK]","tests.api","2026-07-20","passed","2026-07-20","","test_modification","",""
"
        ESCENARIO: Hay transacciones IN_PROGRESS → la conmutación debe cancelarse.

        Precondición: transaction tabla tiene 3 registros con status='IN_PROGRESS'.
        Acción: Intentar conmutar flag.
        Resultado esperado:
          - Sistema lanza ConmutacionBloqueadaError (o HTTP 409).
          - feature_flag NO es modificado.
          - audit_log registra intento fallido con motivo 'IN_PROGRESS_TRANSACTIONS=3'.
        ","0","test_flg03b_precheck_in_progress_bloquea_conmutacion","tests.feature_flags","2026-07-20","skipped","2026-07-20","TestConmutacion","test_feature_flags","",""
"PASO 6 — Consultar estado Cambio Dispositivo.","3","test_e2e_06_estado_cambio_dispositivo[Nokia-Claro]","tests.e2e","2026-07-20","passed","2026-07-20","TestLifecycleFTTHAllVNOs","test_lifecycle_ftth_all_vnos","",""
"
        ESCENARIO: Activación con INTERNET + VoIP + IPTV.

        Cada servicio requiere su propio bloque de configuración QoS.
        Si solo se genera un bloque, dos servicios quedarán sin configurar.

        Resultado esperado: al menos 3 comandos de QoS (uno por servicio).
        ","0","test_nokia_ftth_activation_tres_servicios_genera_tres_bloques_qos","tests.unit","2026-07-20","passed","2026-07-20","TestNokiaFTTH","test_command_builder","",""
"
        ESCENARIO: GET sin header Authorization.

        Sin token no se puede saber quién hace la consulta.

        Resultado esperado: HTTP 401.
        ","3","test_ops04_sin_token_devuelve_401[service-activation-service-activation]","tests.api","2026-07-20","passed","2026-07-20","TestEstadoOperacionAuth","test_operation_status","",""
"
        ESCENARIO: Una activación termina con éxito — Komands notifica COMPLETED a ServiceNow
        con el contrato completo de AnexoH v2.2.

        El técnico en ServiceNow verá la orden cerrada automáticamente.
        Para eso, el callback debe incluir todos los campos del contrato.

        Resultado esperado: HTTP 200 desde Komands y callback con todos los campos requeridos.
        ","31","test_cbk01_operacion_completada_payload_contiene_contrato_completo","tests.api","2026-07-20","passed","2026-07-20","TestCallbackContrato","test_callbacks","",""
"PASO 8 — Consultar estado Baja. Cierra el ciclo de vida del acceso.","4","test_e2e_08_estado_baja[Nokia-VTR]","tests.e2e","2026-07-20","passed","2026-07-20","TestLifecycleFTTHAllVNOs","test_lifecycle_ftth_all_vnos","",""
"PV-BAJ: ONT no encontrado (KMD-2002) — combinaciones VNO × OLT faltantes.","3","test_baj_matriz_ont_not_found[PV-BAJ-204-ENTEL-OLT-SCL-010-False]","tests.api","2026-07-20","passed","2026-07-20","","test_deactivation","",""
"
        ESCENARIO: Rol AUDITOR intenta consultar estado de operación.

        AUDITOR solo tiene audit:read — no tiene transaction:read.
        Las consultas de estado de operación requieren transaction:read.

        Resultado esperado: HTTP 403.
        ","3","test_ops06_auditor_sin_transaction_read_devuelve_403[fiber-change-fiber-change]","tests.api","2026-07-20","passed","2026-07-20","TestEstadoOperacionAuth","test_operation_status","",""
"PV-RST: Reset exitoso — combinaciones VNO × OLT faltantes en la matriz.","3","test_rst_matriz_success[PV-RST-286-ENTEL-OLT-SCL-011-True]","tests.api","2026-07-20","passed","2026-07-20","","test_reset_ont","",""
